Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon sedentarius,Reef Butterflyfish,Assets/SpecimenPrefabs/Chaetodontidae.prefab,Family,FALSE,26,17.98323597,2
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon striatus,Banded Butterflyfish,Assets/SpecimenPrefabs/Chaetodontidae.prefab,Family,FALSE,36.57607315,11.5,4
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Caretta caretta,Loggerhead Sea Turtle,Assets/SpecimenPrefabs/Caretta.prefab,Genus,FALSE,28,12,15
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia,Unspecified,Assets/SpecimenPrefabs/Chelonia.prefab,Genus,FALSE,33.52806706,5.913131826,6
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia mydas,Green Sea Turtles,Assets/SpecimenPrefabs/Chelonia.prefab,Genus,FALSE,70,2,44
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Eretmochelys,Unspecified,Assets/SpecimenPrefabs/Eretmochelys.prefab,Genus,FALSE,22.2504445,14.50850902,6
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,Hawksbill Sea Turtle,Assets/SpecimenPrefabs/Eretmochelys.prefab,Genus,FALSE,100,11,28
Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,Heteroconger hassi,Black Spotted Garden Eel,Assets/SpecimenPrefabs/Congridae.prefab,Family,FALSE,100,10,12
Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,Heteroconger longissimus,Brown Garden Eel,Assets/SpecimenPrefabs/Congridae.prefab,Family,FALSE,25.5,9.2,5
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis akajei,Whip Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,17.01000762,17.01000762,1
