Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,Hawksbill Sea Turtle,https://skfb.ly/oyxDD ,,,100,11,28
Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,Heteroconger hassi,Black Spotted Garden Eel,https://skfb.ly/o8tnQ ,,,100,10,12
Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,Heteroconger longissimus,Brown Garden Eel,https://skfb.ly/o8tnQ ,,,25.5,9.2,5
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis akajei,Whip Stingray,https://skfb.ly/6ooYK ,,,17.01000762,17.01000762,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis americana,Southern Stingray,https://skfb.ly/6ooYK ,,,30,2,24
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis brevicaudata,Short-tail Stingray,https://skfb.ly/6ooYK ,,,18.29,17,3
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis brevis,Diamond Stingray,https://skfb.ly/6ooYK ,,,11.28,11.28,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis guttata,Longnose Stingray,https://skfb.ly/6ooYK ,,,20,15,3
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis lata,Brown Stingray,https://skfb.ly/6ooYK ,,,19,19,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis pastinaca,Common Stingray,https://skfb.ly/6ooYK ,,,24.4,24.4,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis sabina,Atlantic Stingray,https://skfb.ly/6ooYK ,,,30.48006096,14,8
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis say,Bluntnose Stingray,https://skfb.ly/6ooYK ,,,18.8976378,12.4,3
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,Diodon holocanthus,Long-spined Porcupinefish,https://skfb.ly/otU7P ,,,45,9.5,10
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,Diodon liturosus,Black-blotched Porcupinefish,https://skfb.ly/otU7P ,,,18.8976378,17.37363475,4
Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Petrochirus,Petrochirus diogenes,Giant Hermit Crab,https://skfb.ly/oRRR6 ,,,30.48006096,14,7
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Montastraea,Montastraea annularis,Boulder Star Coral,None,,,25,11,2
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Montastraea,Montastraea cavernosa,Great Star Coral,None,,,18.8976378,12,6
